,state,date,cases,deaths,population,emergdec,schoolclose,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict5,gathrestrict100,gathrestrict1000,gathrestrict3,travelrestrictexit,travelrestrictentry,gathrestrict500,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate
6933,Pennsylvania,2020-06-09,80870,6014,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-14.0,0.0,88.0,-34.0,-37.0,11.0,53670.0,21186.0,631.6987149418735,536304.0,,7.43662668480277,4189.224033859114,
6934,Pennsylvania,2020-06-10,81316,6062,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-16.0,0.0,59.0,-34.0,-38.0,12.0,54560.0,20694.0,635.182548586786,544430.0,,7.454867430763932,4252.698545515076,
6935,Pennsylvania,2020-06-11,81848,6113,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-16.0,-1.0,71.0,-35.0,-38.0,13.0,55665.0,20070.0,639.3381528448432,554372.0,,7.468722510018573,4330.3583529090665,
6936,Pennsylvania,2020-06-12,82481,6162,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-19.0,-1.0,111.0,-31.0,-37.0,11.0,56939.0,19380.0,644.2826970090351,566384.0,,7.470811459608879,4424.187522735725,
6937,Pennsylvania,2020-06-13,82944,6211,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-20.0,0.0,169.0,-18.0,-11.0,3.0,58061.0,18672.0,647.8993225193368,575051.0,,7.488184799382715,4491.887940225539,
6938,Pennsylvania,2020-06-14,83203,6215,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-14.0,-2.0,175.0,-22.0,-12.0,2.0,58310.0,18678.0,649.9224456449698,583233.0,,7.469682583560688,4555.799883908665,
6939,Pennsylvania,2020-06-15,83589,6243,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-12.0,-3.0,88.0,-33.0,-37.0,11.0,58549.0,18797.0,652.9376021179207,593030.0,,7.468686071133763,4632.32705480375,
6940,Pennsylvania,2020-06-16,83978,6276,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-10.0,1.0,110.0,-31.0,-36.0,11.0,59612.0,18090.0,655.9761924494702,603092.0,,7.473385886779871,4710.924216541664,
6941,Pennsylvania,2020-06-17,84289,6319,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-12.0,1.0,97.0,-31.0,-37.0,11.0,59863.0,18107.0,658.4055024574698,612831.0,,7.496826394903248,4786.998332837186,
6942,Pennsylvania,2020-06-18,84683,6361,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-13.0,0.0,82.0,-32.0,-38.0,11.0,60979.0,17343.0,661.4831492200157,624068.0,,7.511543048781927,4874.7737558593435,
6943,Pennsylvania,2020-06-19,85199,6399,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-18.0,-2.0,85.0,-31.0,-38.0,10.0,62186.0,16614.0,665.5137728988833,637218.0,,7.510651533468701,4977.4921693808665,
6944,Pennsylvania,2020-06-20,85590,6419,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-19.0,3.0,134.0,-20.0,-11.0,3.0,62574.0,16597.0,668.5679858028311,647727.0,,7.499707909802548,5059.580976049893,
6945,Pennsylvania,2020-06-21,85935,6423,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-14.0,1.0,158.0,-22.0,-10.0,0.0,62932.0,16580.0,671.2628795416088,657745.0,,7.4742537964740805,5137.8344411950375,
